lon,lat,voterType,COLOR,id
-89.8187105351,43.9598233806,DEM,#0571b0,1481
-89.8187003324,44.1848788758,NOVOTE,#9999999,13747
-89.8186936847,43.9568911149,DEM,#0571b0,222
-89.818691775,43.800786417,DEM,#0571b0,15779
-89.8186822875,43.9675483438,REP,#ca0020,6347
-89.8186775194,43.7406430404,NOVOTE,#9999999,16246
-89.8186770093,44.2019103114,REP,#ca0020,14716
-89.8186704775,44.0588380654,NOVOTE,#9999999,11124
-89.8186690477,44.2013086156,DEM,#0571b0,14708
-89.8186605869,43.966060029,DEM,#0571b0,1264
-89.8186579315,44.1148001997,NOVOTE,#9999999,2660
-89.8186501852,44.0080514767,REP,#ca0020,10788
-89.8186486159,43.9700366786,REP,#ca0020,6285
-89.8186472452,43.9737492174,DEM,#0571b0,6053
-89.8186398361,44.0556239757,REP,#ca0020,11046
-89.8186390879,43.9736942719,NOVOTE,#9999999,6056
-89.8186371097,43.9875519383,DEM,#0571b0,11337
-89.8186341567,43.9566194105,NOVOTE,#9999999,97
-89.8186306515,44.0603969575,NOVOTE,#9999999,11123
